Title,Distributor(s),Release date(United States),Bud­get (mil­lions),Opening weekend(North America),North America,Other territories,Worldwide
Howard the Duck,Universal Pictures,August 1 1986,$37,$5070136,$16295774,$21667000,$37962774
Blade,New Line Cinema,August 21 1998,$45,$17073856,$70087718,$61095812,$131183530
X-Men,20th Century Fox,July 14 2000,$75,$54471475,$157299717,$139039810,$296339527
Blade II,New Line Cinema,March 22 2002,$54,$32528016,$82348319,$72661713,$155010032
Spider-Man,Sony Pictures,May 3 2002,$139,$114844116,$403706375,$418002176,$821708551
Daredevil,20th Century Fox,February 14 2003,$78,$40310419,$102543518,$76636200,$179179718
X2,20th Century Fox,May 2 2003,$110,$85558731,$214949694,$192761855,$407711549
Hulk,Universal Pictures,June 20 2003,$137,$62128420,$132177234,$113183246,$245360480
The Punisher,Lionsgate Films,April 16 2004,$33,$13834527,$33810189,$20889916,$54700105
Spider-Man 2,Sony Pictures,June 30 2004,$200,$88156227,$373585825,$415390628,$788976453
Blade: Trinity,New Line Cinema,December 8 2004,$65,$16061271,$52411906,$76493460,$128905366
Elektra,20th Century Fox,January 14 2005,$43,$12804793,$24409722,$32271844,$56681566
Fantastic Four,20th Century Fox,July 8 2005,$100,$56061504,$154696080,$175883639,$330579719
X-Men: The Last Stand,20th Century Fox,May 26 2006,$210,$102750665,$234362462,$224997093,$459359555
Ghost Rider,Sony Pictures,February 16 2007,$110,$45388836,$115802596,$112935797,$228738393
Spider-Man 3,Sony Pictures,May 4 2007,$258,$151116516,$336530303,$554341323,$890871626
Fantastic Four: Rise of the Silver Surfer,20th Century Fox,June 15 2007,$130,$58051684,$131921738,$169991393,$301913131
Iron Man,Paramount Pictures,May 2 2008,$140,$98618668,$318412101,$266762121,$585174222
The Incredible Hulk,Universal Pictures,June 13 2008,$150,$55414050,$134806913,$128620638,$263427551
Punisher: War Zone,Lionsgate Films,December 5 2008,$35,$4271451,$8050977,$2049059,$10100036
X-Men Origins: Wolverine,20th Century Fox,May 1 2009,$150,$85058003,$179883157,$193179707,$373062864
Iron Man 2,Paramount Pictures,May 7 2010,$200,$128122480,$312433331,$311500000,$623933331
Thor,Paramount Pictures,May 6 2011,$150,$65723338,$181030624,$268295994,$449326618
X-Men: First Class,20th Century Fox,June 3 2011,$160,$55101604,$146408305,$207215819,$353624124
Captain America: The First Avenger,Paramount Pictures,July 22 2011,$140,$65058524,$176654505,$193915269,$370569774
Ghost Rider: Spirit of Vengeance,Sony Pictures,February 17 2012,$57,$22115334,$51774002,$80789928,$132563930
The Avengers,Walt Disney Studios Motion Pictures,May 4 2012,$220,$207438708,$623357910,$895455078,$1518812988
The Amazing Spider-Man,Sony Pictures,July 3 2012,$230,$62004688,$262030663,$495900000,$757930663
Iron Man 3,Walt Disney Studios Motion Pictures,May 3 2013,$200,$174144585,$409013994,$805797258,$1214811252
The Wolverine,20th Century Fox,July 26 2013,$120,$53113752,$132550960,$282271394,$414828246
Thor: The Dark World,Walt Disney Studios Motion Pictures,November 8 2013,$170,$85737841,$206362140,$438209262,$644571402
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,April 4 2014,$170,$95023721,$259766572,$454497695,$714264267
The Amazing Spider-Man 2,Sony Pictures,May 2 2014,$255,$91608337,$202853933,$506128390,$708982323
X-Men: Days of Future Past,20th Century Fox,May 23 2014,$200,$90823660,$233921534,$513941241,$747862775
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,August 1 2014,$170,$94320883,$333176600,$440152029,$773328629
Big Hero 6,Walt Disney Studios Motion Pictures,November 7 2014,$165,$56215889,$222527828,$435300000,$657827828
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,May 1 2015,$250,$191271109,$459005868,$946397826,$1405403694
Ant-Man,Walt Disney Studios Motion Pictures,July 17 2015,$130,$57225526,$180202163,$339109802,$519311965
Fantastic Four,20th Century Fox,August 7 2015,$120,$25685737,$56117548,$111765333,$167882881
Deadpool,20th Century Fox,February 12 2016,$58,$132434600,$363070709,$420042270,$783112979
Captain America: Civil War,Walt Disney Studios Motion Pictures,May 6 2016,$250,$179139142,$408084349,$745220146,$1153304495
X-Men: Apocalypse,20th Century Fox,May 27 2016,$178,$65769562,$155442489,$388491616,$543934105
Doctor Strange,Walt Disney Studios Motion Pictures,November 4 2016,$165,$85058311,$232641920,$445076475,$677718395
Logan,20th Century Fox,March 3 2017,$97,$88411916,$226277068,$390518532,$616795600
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,May 5 2017,$200,$146510104,$389813101,$473942950,$863756051
Spider-Man: Homecoming,Sony Pictures,July 7 2017,$175,$117027503,$334201140,$545965784,$880166924
Inhumans,IMAX Entertainment,September 1 2017,N/A,$1500000,$1521787,$1330495,$2852282
Thor: Ragnarok,Walt Disney Studios Motion Pictures,November 3 2017,$180,$122744989,$315058289,$538918837,$853977126
Black Panther,Walt Disney Studios Motion Pictures,February 16 2018,$200,$202003951,$700059566,$646853595,$1346913161
Avengers: Infinity War,Walt Disney Studios Motion Pictures,April 27 2018,$316,$257698183,$678815482,$1369544272,$2048359754
Deadpool 2,20th Century Fox,May 18 2018,$110,$125507153,$324591735,$460455185,$785046920
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,July 6 2018,$162,$75812205,$216648740,$406025399,$622674139
Venom,Sony Pictures,October 5 2018,$100,$80255756,$213515506,$641498448,$855013954
Spider-Man: Into the Spider-Verse,Sony Pictures,December 14 2018,$90,$35363376,$190241310,$185299521,$375540831
Captain Marvel,Walt Disney Studios Motion Pictures,March 8 2019,$152,$153433423,$426829839,$701444955,$1128274794
Avengers: Endgame,Walt Disney Studios Motion Pictures,April 26 2019,$356,$357115007,$858373000,$1937901401,$2797800564
Dark Phoenix,20th Century Fox,June 7 2019,$200,$32828348,$65845974,$186597000,$252442974
Spider-Man: Far From Home,Sony Pictures,July 2 2019,$160,$92579212,$390532085,$741395911,$1131927996
The New Mutants,20th Century Studios,August 28 2020,$67,$7037017,$23855569,$24819497,$48675066
Black Widow,Walt Disney Studios Motion Pictures,July 9 2021,$200,$80366312,$183651665,$195979696,$379631351
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,September 3 2021,$150,$75388688,$224543292,$207700000,$432243292
Venom: Let There Be Carnage,Sony Pictures,October 1 2021,$110,$90033210,$213550366,$288500000,$502050366
Eternals,Walt Disney Studios Motion Pictures,November 5 2021,$200,$85021497,$164870234,$237194665,$402064899
Spider-Man: No Way Home,Sony Pictures,December 17 2021,$200,$260138569,$780418859,$1072000000,$1852418859
Total,Total,Total,$8424,$5688487114,$15809734872,$24430137918,$40239878672
Average,Average,Average,$142.352,$83992268,$228139366,$344915384,$573054859
